Source: http://edgar.jrc.ec.europa.eu/overview.php?v=GHGts1990-2012&sort=des8,,,,,,,,
Country,1990,1995,2000,2005,2010,2010,2011,2012
,Gg CO2eq,Gg CO2eq,Gg CO2eq,Gg CO2eq,Gg CO2eq,% world total,Gg CO2eq,Gg CO2eq
,,,,,,,,
,,,,,,,,
Maldives,130.89,343.53,305.08,486.61,684.1,0,706.85,727.13
Mali,30794.15,31483.01,70241.63,87079.09,76827.88,0.15,77134.18,77437.93
Malta,2605.29,2710.72,2553.05,3166.97,2053.76,0,2025.46,1921.13
Marshall Islands,4.91,5.81,6.21,6.74,7.8,0,7.88,7.96
Martinique,1926.76,2131.86,1783.75,2099.33,2491.77,0,2573.96,2647.24
Mauritania,5976.91,8039.71,11950.56,11475.54,12951.01,0.03,13153.86,13343.16
Mauritius,1576.66,1834.36,2439,2854.48,3334.11,0.01,3441.62,3537.55
Mayotte,10.95,11.35,11.6,11.88,12.57,0,12.69,12.82
Mexico,494151.02,515961.21,576489.52,641308.82,643375.43,1.26,652861.29,663424.95
"Micronesia, Federated States of",47.64,57.83,38.66,39.49,40.62,0,41.03,41.44
"Moldova, Republic of",38029.8,16651.89,10796.14,12762.86,11338.71,0.02,11433.49,11350.63
Mongolia,58042.68,59119.42,51756.46,27669.26,24860.38,0.05,25428.95,25944.26
Montserrat,58.11,65.06,392,454.23,568.08,0,587.94,605.6
Morocco,37543.27,41902.28,50974.38,70022.09,76087.38,0.15,78381.4,80436.72
Mozambique,40943.07,36851.04,215278.01,349872.74,379823.55,0.75,380073.24,380308.29
Myanmar,875447.03,943040.18,185137.09,223012.72,325367.14,0.64,526919.84,528416.22
Namibia,7299.95,7245.02,33985.47,30934.05,37647.57,0.07,37855.65,38049.27
Nauru,2.76,3.2,3.6,3.98,4.43,0,4.51,4.57
Nepal,25118.33,26905.31,31234.02,30862.52,32738.69,0.06,33160.97,40762.72
Netherlands,224468.09,235053.01,220319.9,217083.63,212418.45,0.42,200143.54,195873.76
New Caledonia,1633.17,1761.27,1655.46,1545.51,1568.03,0,1616.71,1660.25
New Zealand,65689.82,69576.05,74422.83,82066.57,76141.66,0.15,75851.12,78130.98
Nicaragua,10263.48,10769.14,14043.29,16831.87,15794.35,0.03,16068.64,16323.04
Niger,6929.28,8185.43,11124.28,10258.53,11219.51,0.02,11342.12,11460.92
Nigeria,163274.18,184046.2,314978.54,374421.7,292211.74,0.57,296799.95,301010.13
Niue,0.99,1.08,1.16,1.2,1.29,0,1.31,1.32
Norfolk Island,0.09,0.09,0.09,0.09,0.09,0,0.09,0.09
Northern Mariana Islands,5.12,6.56,8.47,10.33,12.24,0,12.37,12.49
Norway,67466.1,70569.1,71217.9,71578.06,65710.06,0.13,64181.15,63536.73
Oman,35356.29,41448.64,35439.11,48099.66,59041.98,0.12,60705.59,62201.55
Pakistan,172551.29,209249.97,247348.8,299134.72,354528.62,0.7,362475.09,369734.58
Palau,1.16,1.27,1.37,1.34,1.36,0,1.38,1.39
Panama,6814.45,8817.59,9158.75,10588.62,15428.76,0.03,15860.46,16248.77
Papua New Guinea,29504.07,35410.12,8257.46,9453.03,10667.6,0.02,10888.09,11087.46
Paraguay,63833.49,60568.5,39439.47,90747.01,50027.5,0.1,50445.12,50843.95
Peru,59544.2,63406.51,66574.04,68557.46,71614.29,0.14,73289.7,74806.96
Philippines,96355.44,125623.45,150078.87,146433.72,159940.45,0.31,163797.79,167297.55
Poland,474016.06,458557.08,392642.04,411811.67,426485.87,0.84,422791.47,414606.89
Portugal,58227.18,69204.41,88594.19,101594.26,71681.47,0.14,71977.89,72524.22
Puerto Rico,2941.16,2888.35,2963.27,3118.67,3199.25,0.01,3247.52,3293.25
Qatar,21978.48,27343.77,44439.7,61388.82,98391.53,0.19,100891.32,103155.12
Reunion,1350.96,1781.22,2088.82,2213.63,2457.08,0,2535.07,2604.74
Romania,247279.34,177197.36,132627.54,139578.17,117930.7,0.23,126194.42,121762.23
Russian Federation,3593581.92,2645144.69,2771222,2527172.17,2603289.63,5.11,2777724.31,2803398.49
Rwanda,3251.96,3231.68,4900.33,4963.96,6547.47,0.01,6620.25,6689.95
Saint Helena,14.35,10.68,10.97,8.42,8.46,0,8.7,8.91
Saint Kitts and Nevis,97.71,124.18,161.48,167.94,184.44,0,189.78,194.57
Saint Lucia,278.12,334.15,404.94,473.07,563.92,0,582.34,598.77
Saint Pierre and Miquelon,1.33,1.36,9.62,8.76,8.87,0,9.13,9.37
Saint Vincent and the Grenadines,140.64,188.11,222.54,261,301.56,0,310.88,319.22
Samoa,287.11,279.86,318.53,307.21,340.98,0,348.88,356.09
Sao Tome and Principe,97.47,107.21,206.9,177.25,185.45,0,190.74,195.49
Saudi Arabia,205065.48,262037.7,310713.5,385792.92,495438.15,0.97,514967.26,549111.58
Senegal,11016.43,12144.98,48632.88,50288.84,53407.57,0.1,53810.05,54185.37
Serbia and Montenegro,81945.39,58587.85,57526.65,39275.89,68549.9,0.13,70400.81,72058.86
Seychelles,365.27,402.54,534.67,688.18,854.07,0,883.83,910.29
Sierra Leone,9628.77,8960.42,14763.85,14869.18,11647.49,0.02,11731.17,11810.89
Singapore,32561.17,44512.59,48133.57,47597.81,52732,0.1,54413.55,55910.28
Slovakia,72262.45,53824.71,50421.4,48958.79,49973.28,0.1,48551.75,46301.27
Slovenia,19978.02,18869.7,20927.09,22366.88,21893.66,0.04,21513.48,21074.75
Solomon Islands,5903.5,3885.28,4086.06,4323.8,4479.83,0.01,4536.58,4591.46
Somalia,17953.41,18762.63,20491.62,21219.93,21461.81,0.04,21690.27,21916.32
South Africa,349202,371350.21,420482.75,498312.89,456538.49,0.9,451483.82,450615.78
Spain,293343.06,319459.33,381031.15,437016.74,354618.02,0.7,353857.39,348257.29
Sri Lanka,18379,20611.1,23282.57,27223.29,29131.29,0.06,29822.78,30451.83
Sudan,92666.85,101975.76,529253.88,536024.45,487562.73,0.96,489798.21,491982.27
Suriname,10497.9,9187.75,2495.76,2577.08,2532.29,0,2598.26,2657.88
Swaziland,2261.63,2292.55,2814.74,2940.41,3378.34,0.01,3430.02,3478.03
Sweden,77170.66,82229.84,77926.24,74562.61,71434.71,0.14,68780.33,65767.79
Switzerland,56393.8,54577.65,53063.22,55882.85,57154.18,0.11,53066.87,54108.1
Syrian Arab Republic,48602.09,60581.46,68163.27,67605.91,73021.04,0.14,75181.26,77118.71
Taiwan_Province of China,137447.14,185529.34,249438.51,290612.21,306144.87,0.6,316576.87,325848.42
Tajikistan,21668.06,12715.77,10059.4,12218.02,14727.21,0.03,15285.82,15364.58
Tanzania_United Republic of,94958.05,90916,215939.36,269558.99,234147.16,0.46,234762.03,235353.12
Thailand,208062.85,281623.81,283870.04,364315.7,421227.83,0.83,431312.31,440411.68
Timor-Leste,453.02,781.22,615.33,885.58,940.46,0,949.91,959.35
Togo,13410.26,12779.71,22054.71,32080.96,22578.12,0.04,22760.64,22931.86
Tokelau,0.36,0.37,0.37,0.36,0.36,0,0.37,0.37
Tonga,124.45,150.45,175.12,153.79,151.93,0,155.29,158.36
Trinidad and Tobago,15412.59,16779.95,24111.81,43922.04,58068.76,0.11,59776.58,61308.53
Tunisia,21219.03,24746.42,30799.83,32172.82,37649.97,0.07,38741.14,39721.01
Turkey,224459.04,261203.42,316464.84,347595.11,422721.87,0.83,434798.46,445640.08
Turkmenistan,81331.87,55244.04,63236.16,79175.65,87379.67,0.17,88648.72,92178.07
Turks and Caicos Islands,2.39,8.02,4.47,9.01,18.26,0,18.75,19.18
Tuvalu,4.03,4.63,4.9,5.04,5.11,0,5.18,5.24
Uganda,36900.52,38761.04,72771.09,111346.72,79906.21,0.16,80318.97,80725.08
Ukraine,953118.72,598434.25,470107.96,434668.76,393092.06,0.77,410067.31,404900.3
United Arab Emirates,72498.58,93904.01,115420.51,143367.66,193127.16,0.38,199342.52,204888.72
United Kingdom,777244.23,728336.09,673897.41,659108.09,609586.56,1.2,568061.83,585779.78
United States,6136093.5,6365296.6,6969123.8,7182808.4,6713348.97,13.19,6571653.98,6343840.51
Uruguay,26111.57,30383.55,30375.78,32688.88,33285.2,0.07,33773.77,34237.83
Uzbekistan,169357.5,145116.23,165976.9,167568.44,172722.67,0.34,180734.95,177223.75
Vanuatu,433.35,426.35,462.64,436.14,433.77,0,440.15,446.22
Venezuela,210102.63,227661.21,251579.93,255157.64,268746.2,0.53,275683.76,281921.37
Viet Nam,99053.92,120659.1,155791.92,232509.77,278994.36,0.55,285091.06,310664.07
Virgin Islands_British,72.92,73.41,77.71,94.08,119.87,0,123.52,126.78
Virgin Islands_USA,45.3,47.59,43.27,48.06,60.21,0,60.86,61.49
Wallis and Futuna,7.75,8.19,8.36,8.46,8.5,0,8.58,8.67
Western Sahara,500.22,516.44,592.75,623.45,682.35,0,695.99,708.57
Yemen,12850.01,17884.47,24225.18,32666.19,38865.29,0.08,39949.08,40924.63
Zambia,209648.82,185179.11,290812.37,396446.48,319784.63,0.63,320024.7,320254.22
Zimbabwe,35100.59,30376.99,51434.54,59894.6,71019.12,0.14,71561.95,72057.8
